supplier_id,supplier_name,contact_person,phone_number,email,address,city,country,delivery_days
48,"Supplier L",Lena,6127743399,s12@oslofoods.com,"142 Fjord Avenue",Oslo,Norway,MonWedFri
49,"Supplier M",Mona,9724408812,s13@telavivtraders.com,"56 Palm Grove","Tel Aviv",Israel,WedSat
50,"Supplier N",Noah,3585552311,s14@helsinkitech.com,"300 Baltic Road",Helsinki,Finland,MonThu
51,"Supplier O",Omar,8139924777,s15@tokyotrade.co.jp,"99 Sakura Lane",Tokyo,Japan,TueFri
52,"Supplier P",Paula,39028844201,s16@milanosupply.it,"210 Via Roma",Milan,Italy,WedSat
53,"Supplier Q",Quinn,33142559899,s17@parismart.fr,"80 Rue des Champs",Paris,France,TueThu
54,"Supplier R",Ravi,912202337118,s18@mumbaiimports.in,"33 Gateway Plaza",Mumbai,India,MonWedFri
55,"Supplier S",Sara,6129987342,s19@sydneygoods.au,"78 Harbor View",Sydney,Australia,WedFri
56,"Supplier T",Tariq,971509933882,s20@dubaitrade.ae,"88 Creek Street",Dubai,UAE,TueFri
57,"Supplier U",Uma,351211778300,s21@lisbonsupply.pt,"27 Avenida Mar",Lisbon,Portugal,MonThuSat
58,"Supplier V",Victor,551199007231,s22@rioprod.com,"64 Copacabana Blvd","Rio de Janeiro",Brazil,WedSat
59,"Supplier W",Wendy,861081552339,s23@beijingexport.cn,"22 Dragon Road",Beijing,China,ThuSun
60,"Supplier X",Xavier,48224331001,s24@warsawtrade.pl,"10 Vistula St",Warsaw,Poland,MonWedFri
61,"Supplier Y",Yara,2023349211,s25@cairofresh.eg,"48 Nile View",Cairo,Egypt,TueThu
62,"Supplier Z",Zane,27613322011,s26@capetownlogistics.za,"103 Table Bay Rd","Cape Town","South Africa",WedFri
63,"Supplier AA",Ava,2348094432211,s27@lagosglobal.ng,"45 Marina Avenue",Lagos,Nigeria,MonWedFri
64,"Supplier AB",Ben,441209776554,s28@manchesterfoods.uk,"14 Riverbend St",Manchester,UK,TueFri
65,"Supplier AC",Clara,14165544322,s29@torontosupply.ca,"21 Maple Avenue",Toronto,Canada,ThuSun
66,"Supplier AD",Dylan,12125550933,s30@newyorktrade.us,"500 Madison Street","New York",USA,MonWedFri
